"","Caracterizacion","Kale","Platero"
"Tachycineta albiventer",0,2,0
"Phaetusa simplex",0,3,0
"Laterallus albigularis",0,2,0
"Ramphocelus dimidiatus",3,36,5
"Chlorostilbon gibsoni",1,1,0
"Dendrocygna viduata",0,8,0
"Caracara cheriway",7,11,18
"Chloroceryle amazona",0,4,1
"Cantorchilus leucotis",1,32,19
"Busarellus nigricollis",0,3,0
"Amazilia tzacatl",5,7,9
"Cercomacra nigricans",6,34,0
"Colinus cristatus",7,3,8
"Campylorhynchus nuchalis",0,0,1
"Polyerata amabilis",0,2,3
"Buteogallus meridionalis",6,3,3
"Chrysuronia goudoti",3,12,2
"Troglodytes aedon",0,11,23
"Veniliornis kirkii",2,10,4
"Glyphorynchus spirurus",1,4,1
"Myiarchus tuberculifer",1,0,1
"Pilherodius pileatus",3,0,3
"Mesembrinibis cayennensis",5,4,4
"Crotophaga sulcirostris",0,1,3
"Micrastur semitorquatus",0,0,2
"Legatus leucophaius",1,15,4
"Psarocolius decumanus",12,12,27
"Hylophilus flavipes",0,1,3
"Momotus subrufescens",26,54,41
"Geranospiza caerulescens",0,1,2
"Trogon chionurus",0,0,1
"Chloroceryle inda",0,0,3
"Phaethornis anthophilus",2,10,12
"Pheugopedius fasciatoventris",6,14,4
"Myiodynastes maculatus",0,11,3
"Amazona",0,4,0
"Leptodon cayanensis",0,1,0
"Phaethornis longirostris",0,1,0
"Onychorhynchus coronatus",1,0,0
"Epinecrophylla fulviventris",1,0,0
"Cacicus cela",2,2,0
"Turdus nudigenis",6,0,1
"Stelgidopteryx ruficollis",0,3,5
"Caprimulgidae",0,0,1
"Sporophila nigricollis",0,0,1
"Falco femoralis",3,0,2
"Columbina squammata",0,0,1
"Sporophila minuta",3,2,1
"Thamnophilus doliatus",3,0,0
"Chloroceryle aenea",0,2,1
"Chloroceryle americana",0,1,5
"Celeus loricatus",0,4,0
"Coccycua minuta",0,2,0
"Anurolimnas viridis",0,1,0
"Ictinia plumbea",3,1,0
"Nyctibius grandis",1,0,0
"Piaya cayana",0,1,0
"Molothrus oryzivorus",0,1,0
"Tigrisoma fasciatum",0,0,1
"Piranga rubra",2,3,2
"Henicorhina leucosticta",0,0,2
"Myiarchus tyrannulus",1,1,1
"Galbula ruficauda",2,10,0
"Inezia caudata",0,3,0
"Vireo olivaceus",2,1,1
"Myiarchus crinitus",10,5,1
"Parkesia noveboracensis",0,3,3
"Tyrannus dominicensis",0,24,0
"Dendrocincla fuliginosa",2,7,0
"Setophaga castanea",9,11,3
"Catharus ustulatus",5,1,2
"Pachyramphus polychopterus",2,0,0
"Setophaga fusca",1,0,0
"Chlorestes julie",1,5,0
"Ceratopipra erythrocephala",3,0,0
"Setophaga petechia",0,6,11
"Sporophila intermedia",0,3,0
"Protonotaria citrea",1,11,2
"Hirundo rustica",6,248,14
"Coccycua pumila",0,2,0
"Progne chalybea",0,1,0
"Tringa solitaria",0,5,1
"Actitis macularius",0,1,1
"Phalacrocorax brasilianus",0,0,1
"Piranga olivacea",4,2,0
"Chaetura brachyura",0,1,1
"Butorides virescens",0,1,0
"Empidonax virescens",4,7,1
"Mycteria americana",0,1,0
"Patagioenas speciosa",3,0,0
"Schiffornis stenorhyncha",1,0,0
"Phaeomyias murina",1,0,0
"Amazona ochrocephala",0,0,1
"Glaucis hirsutus",0,4,0
"Leiothlypis peregrina",0,6,1
"Saltator maximus",0,4,1
"Egretta thula",0,13,0
"Laterallus exilis",0,0,2
"Picumnus olivaceus",0,2,0
"Coccyzus americanus",0,2,0
"Gampsonyx swainsonii",0,0,6
"Tersina viridis",0,1,0
"Chaetura",0,9,1
"Ornithion brunneicapillus",0,1,0
"Polytmus guainumbi",0,2,0
"Geothlypis philadelphia",0,2,0
"Nyctidromus albicollis",0,1,0
"Contopus virens",0,0,1
"Ixobrychus exilis",0,0,1
